
Assets.............
Walk-Forward Test: Z1 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
[4909: Tue 26.02.13 08:00]  4: 04909
[4910: Tue 26.02.13 12:00]  4: 04910
[4911: Tue 26.02.13 16:00]  4: 04911
[4912: Tue 26.02.13 20:00]  4: 04912
[4913: Wed 27.02.13 00:00]  4: 04913
[4914: Wed 27.02.13 04:00]  4: 04914
[4915: Wed 27.02.13 08:00]  4: 04915
[4916: Wed 27.02.13 12:00]  4: 04916
[4917: Wed 27.02.13 16:00]  4: 04917
[4918: Wed 27.02.13 20:00]  4: 04918
(XAG/USD:HU:S) Short 1@28.91 Entry limit
[XAG/USD:HU:S1950] Short 1@28.91 Risk 1$ ts at 20:01

[4919: Thu 28.02.13 00:00]  4: +0 -0 0/1
(USD/CAD:VO:S) Short 4@1.0236 Entry limit
(NAS100:VO:L) Long 1@2741 Entry limit
[USD/CAD:VO:S2051] Short 4@1.0232 Risk 20$ ts at 00:01
[NAS100:VO:L2052] Long 1@2741 Risk 34$ ts at 00:08

[4920: Thu 28.02.13 04:00]  4: +0 +2 1/2
[4921: Thu 28.02.13 08:00]  4: +0 +5 2/1
[4922: Thu 28.02.13 12:00]  4: +0 +3 1/2
[4923: Thu 28.02.13 16:00]  4: +0 -5 2/1
[4924: Thu 28.02.13 20:00]  4: +0 -3 2/1
[USD/CAD:VO:S2051] Cover 4@1.0301: -15.70 at 20:00
(USD/CAD:VO:L) Long 5@1.0299 Entry limit
